ID,Date,Status,Type_description,href,num_violations
2561850,01/21/2009,PASSED,BOILER PERMIT INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2561850,0
2561849,01/21/2009,PASSED,BOILER PERMIT INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2561849,0
2564084,01/21/2009,PASSED,BOILER PERMIT INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2564084,0
2510789,01/21/2009,PASSED,BOILER ANNUAL INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2510789,0
1613908,01/15/2009,PARTIAL PASSED,DOB VENT/FURNACE INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1613908,0
1613901,01/15/2009,PARTIAL PASSED,DOB VENT/FURNACE INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1613901,0
2020266,01/15/2009,PASSED,DOB NEW CONSTRUCTION INSP,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2020266,0
2017661,01/15/2009,PASSED,DOB NEW CONSTRUCTION INSP,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2017661,0
2017660,01/15/2009,PASSED,DOB NEW CONSTRUCTION INSP,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2017660,0
1839870,01/15/2009,PASSED,BLDG_PERM IRON PERMIT INSP,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1839870,0
1840048,01/15/2009,PASSED,BLDG_PERM IRON PERMIT INSP,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1840048,0
2020263,01/15/2009,PASSED,ELECTRICAL PERMIT INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=2020263,0
1613904,01/15/2009,PASSED,ELECTRICAL PERMIT INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1613904,0
1613897,01/15/2009,PASSED,ELECTRICAL PERMIT INSPECTION,https://webapps1.chicago.gov/buildingrecords/inspectiondetails?addr=364923&insp=1613897,0
